gauge,regime,frac_snow,provenance,n_seeds,mask,ctrl_NSE_mean,ctrl_NSE_std,phys_NSE_mean,phys_NSE_std,dNSE_mean,dNSE_std,dNSE_ci95_lo,dNSE_ci95_hi,p_NSE,ctrl_floodMAE_mean,ctrl_floodMAE_std,phys_floodMAE_mean,phys_floodMAE_std,floodMAE_red_pct_mean,floodMAE_red_pct_std,floodMAE_red_pct_ci95_lo,floodMAE_red_pct_ci95_hi,p_floodMAE
07067000,humid rain,0.043,carried,10,0.0,0.7462174654006958,0.0035654533152953485,0.7461785197257995,0.00368369074116206,-3.894567489624023e-05,0.00035658009587644183,-0.0002940277090131346,0.00021613635922065414,0.7377409892674885,2832.650927734375,47.30047506734425,2834.5031005859373,47.93014199545492,-0.06513760294399203,0.1177224088955516,-0.14935114113492726,0.019075935246943218,0.11461775063394616
07067000,humid rain,0.043,carried,10,0.8,0.6074019849300385,0.015270710213532657,0.6070225715637207,0.01501235786403767,-0.000379413366317749,0.0006356389404634216,-0.0008341220720821337,7.529533944663575e-05,0.09169202752056,3395.162744140625,173.60678435853515,3401.1146240234375,173.23148751619541,-0.17616605084239517,0.1397445699141166,-0.27613329400235886,-0.07619880768243148,0.0032223252262494465
07067000,humid rain,0.043,carried,10,1.0,0.5089995086193084,0.02533024730492997,0.5078531444072724,0.02506862612152395,-0.0011463642120361328,0.001149287502976409,-0.001968514964236088,-0.0003242134598361779,0.011657849765491135,3843.4658447265624,258.6608961521932,3857.7290771484377,256.72785488453945,-0.37554335750556633,0.3082508358099258,-0.5960527216734262,-0.15503399333770645,0.004351284770847843
12040500,energy-limited maritime,0.039,fresh,10,0.0,0.548798006772995,0.006363919381768147,0.5486968100070954,0.006220874147751443,-0.0001011967658996582,0.0006585490117533258,-0.0005722943493775562,0.0003699008175782398,0.6386249543497144,16887.238671875,176.69060910201722,16891.977734375,172.53396947488932,-0.028381683972909445,0.14132231004145765,-0.12947757442879357,0.07271420648297469,0.5463370376149582
12040500,energy-limited maritime,0.039,fresh,10,0.8,0.5168608546257019,0.016389667543678307,0.5170937478542328,0.016212288102033685,0.0002328932285308838,0.0007311000598576943,-0.00029010424824388407,0.0007558907053056517,0.3400809144427989,17827.156640625,579.4499294117879,17827.362109375,576.2290817911841,-0.0016945251395963062,0.10660418909898067,-0.07795456801695477,0.07456551773776215,0.9733141841457434
12040500,energy-limited maritime,0.039,fresh,10,1.0,0.49861128330230714,0.02276898330191212,0.4989327609539032,0.02259608824430617,0.00032147765159606934,0.0007343452385779319,-0.00020384128618732966,0.0008467965893794683,0.19960476841140695,18052.959765625,706.6141860573226,18051.652734375,702.9303345127131,0.006555736553417568,0.1165810069478715,-0.07684129187175635,0.08995276497859149,0.8473415220794218
02177000,humid rain,0.018,fresh,10,0.0,0.6513488531112671,0.00704604435316426,0.6508359611034393,0.007010687719797661,-0.0005128920078277588,0.00019536352684050248,-0.0006526466559278975,-0.00037313735972762004,1.6443246392657486e-05,842.2723022460938,28.678426029974723,843.8051208496094,28.307883227170986,-0.18363788962688368,0.13528484524302117,-0.2804148379446515,-0.08686094130911585,0.0015629883464337946
02177000,humid rain,0.018,fresh,10,0.8,0.641046279668808,0.006248632369788774,0.6406955301761628,0.006205969553440802,-0.0003507494926452637,0.0002994844591156181,-0.0005649877687045103,-0.0001365112165860171,0.004893296368815985,854.7462524414062,35.95640998064174,856.8028869628906,35.04513702885968,-0.24567312651210976,0.22652865751770865,-0.4077219660676662,-0.08362428695655336,0.00580750989132153
02177000,humid rain,0.018,fresh,10,1.0,0.5680505931377411,0.02607476442447263,0.5676058888435364,0.025637488250827744,-0.0004447042942047119,0.0010602055597468377,-0.0012031296631181063,0.0003137210747086826,0.21737189826825332,901.9253356933593,60.89731127649368,903.9325927734375,59.01054489088843,-0.238093167581476,0.32381554835738235,-0.46973685635960716,-0.006449478803344816,0.040166398504752995
11143000,Mediterranean,0.01,fresh,10,0.0,0.8120366156101226,0.0124918463596604,0.8138809382915497,0.01189277924417438,0.0018443226814270019,0.006438359620603777,-0.002761402336294578,0.0064500476991485815,0.38861690353673195,263.27784118652346,11.086187092917227,262.6032913208008,9.886344870005725,0.2072293816678406,2.74325925611481,-1.755180072061837,2.1696388353975182,0.7767114515711867
11143000,Mediterranean,0.01,fresh,10,0.8,0.6932673871517181,0.01811150420313642,0.6942691206932068,0.025237294769549667,0.0010017335414886474,0.015864140522645846,-0.010346788938675128,0.012350256021652422,0.8461691605916309,370.50294799804686,25.531197028034295,369.3665802001953,26.89735935091082,0.1897213468382804,5.695234637079802,-3.8844040819200876,4.263846775596648,0.8679347504377101
11143000,Mediterranean,0.01,fresh,10,1.0,0.5607821226119996,0.05874440792427829,0.5627760112285614,0.052113617993768936,0.0019938886165618897,0.018774753044959968,-0.011436760632043987,0.015424537865167766,0.7446915031303575,487.85471496582034,81.6674381428978,479.082763671875,73.98300243817538,1.3544253340619878,7.2753035295291735,-3.850013288819458,6.5588639569434335,0.45520640044476596
08202700,arid/flashy,0.003,fresh,10,0.0,-0.0013686418533325195,0.0003655229061217835,-0.0013935446739196777,0.0002924038526335893,-2.4902820587158204e-05,0.0002099823234185689,-0.0001751151257763971,0.00012530948460208067,0.7163234732979955,20.970493698120116,0.36706829569527627,20.809492301940917,0.3025099642686955,0.7575721864135082,1.1483563112478208,-0.06391243135261837,1.579056804179635,0.06499539878072534
